symbol,name,sector,market_cap,as_of
NVDA,NVIDIA Corporation Common Stock,Technology,5139717000000,2026-07-22
AAPL,Apple Inc. Common Stock,Technology,4784259343440,2026-07-22
GOOGL,Alphabet Inc. Class A Common Stock,Technology,4211158120000,2026-07-22
GOOG,Alphabet Inc. Class C Capital Stock,Technology,4201223000000,2026-07-22
MSFT,Microsoft Corporation Common Stock,Technology,2891481066358,2026-07-22
AVGO,Broadcom Inc. Common Stock,Technology,1863068405537,2026-07-22
META,Meta Platforms Inc. Class A Common Stock,Technology,1597785164470,2026-07-22
MU,Micron Technology Inc. Common Stock,Technology,1096544751203,2026-07-22
AMD,Advanced Micro Devices Inc. Common Stock,Technology,906124775092,2026-07-22
INTC,Intel Corporation Common Stock,Technology,533109830400,2026-07-22
AMAT,Applied Materials Inc. Common Stock,Technology,446145652703,2026-07-22
CSCO,Cisco Systems Inc. Common Stock (DE),Telecommunications,445322995625,2026-07-22
LRCX,Lam Research Corporation Common Stock,Technology,400207731420,2026-07-22
ORCL,Oracle Corporation Common Stock,Technology,364235557950,2026-07-22
PLTR,Palantir Technologies Inc. Class A Common Stock,Technology,303667508127,2026-07-22
DELL,Dell Technologies Inc. Class C Common Stock ,Technology,288391853295,2026-07-22
KLAC,KLA Corporation Common Stock,Technology,283605410843,2026-07-22
PANW,Palo Alto Networks Inc. Common Stock,Technology,272959800000,2026-07-22
TXN,Texas Instruments Incorporated Common Stock,Technology,268941520668,2026-07-22
CCZ,Comcast Holdings ZONES,Telecommunications,235836478805,2026-07-22
SNDK,Sandisk Corporation Common Stock,Technology,235781108200,2026-07-22
ANET,Arista Networks Inc. Common Stock,Telecommunications,221732984601,2026-07-22
TMUS,T-Mobile US Inc. Common Stock,Telecommunications,206280123312,2026-07-22
IBM,International Business Machines Corporation Common Stock,Technology,197704868648,2026-07-22
APH,Amphenol Corporation Common Stock,Technology,193096737323,2026-07-22
WDC,Western Digital Corporation Common Stock,Technology,193070248858,2026-07-22
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,Technology,191025440928,2026-07-22
ADI,Analog Devices Inc. Common Stock,Technology,188159288117,2026-07-22
QCOM,QUALCOMM Incorporated Common Stock,Technology,187385390000,2026-07-22
VZ,Verizon Communications Inc. Common Stock,Telecommunications,186417827537,2026-07-22
MRVL,Marvell Technology Inc. Common Stock,Technology,186328064157,2026-07-22
T,AT&T Inc.,Telecommunications,159290667792,2026-07-22
APP,Applovin Corporation Class A Common Stock,Technology,140362450800,2026-07-22
CRM,Salesforce Inc. Common Stock,Technology,135724680000,2026-07-22
VRT,Vertiv Holdings LLC Class A Common Stock,Technology,115507474658,2026-07-22
FTNT,Fortinet Inc. Common Stock,Technology,113663071380,2026-07-22
NOW,ServiceNow Inc. Common Stock,Technology,100579205000,2026-07-22
NET,Cloudflare Inc. Class A Common Stock,Technology,95103636221,2026-07-22
CDNS,Cadence Design Systems Inc. Common Stock,Technology,94866913200,2026-07-22
SNOW,Snowflake Inc. Common Stock,Technology,92940790000,2026-07-22
ADBE,Adobe Inc. Common Stock,Technology,88314562500,2026-07-22
DDOG,Datadog Inc. Class A Common Stock,Technology,87982679915,2026-07-22
CMCSA,Comcast Corporation Class A Common Stock,Telecommunications,85450071348,2026-07-22
INTU,Intuit Inc. Common Stock,Technology,79273757970,2026-07-22
DASH,DoorDash Inc. Class A Common Stock,Technology,78481656207,2026-07-22
SNPS,Synopsys Inc. Common Stock,Technology,73392110479,2026-07-22
MPWR,Monolithic Power Systems Inc. Common Stock,Technology,69414303100,2026-07-22
MSI,Motorola Solutions Inc. Common Stock,Technology,67305398656,2026-07-22
LITE,Lumentum Holdings Inc. Common Stock,Telecommunications,65881818000,2026-07-22
HPE,Hewlett Packard Enterprise Company Common Stock,Technology,65362685797,2026-07-22
COHR,Coherent Corp. Common Stock,Technology,62432420118,2026-07-22
ALAB,Astera Labs Inc. Common Stock,Technology,57850179413,2026-07-22
CBRS,Cerebras Systems Inc. Class A Common Stock,Technology,49241061284,2026-07-22
XYZ,Block Inc. Class A Common Stock,Technology,46539425340,2026-07-22
MCHP,Microchip Technology Incorporated Common Stock,Technology,46367484714,2026-07-22
CRWV,CoreWeave Inc. Class A Common Stock,Technology,45525117522,2026-07-22
ADSK,Autodesk Inc. Common Stock,Technology,43299310000,2026-07-22
ON,ON Semiconductor Corporation Common Stock,Technology,36791871571,2026-07-22
RBLX,Roblox Corporation Class A Common Stock,Technology,36328761521,2026-07-22
MSTR,Strategy Inc Common Stock Class A,Technology,34841527434,2026-07-22
WDAY,Workday Inc. Class A Common Stock,Technology,33466030000,2026-07-22
UI,Ubiquiti Inc. Common Stock,Technology,32857439947,2026-07-22
NTAP,NetApp Inc. Common Stock,Technology,32810369108,2026-07-22
RDDT,Reddit Inc. Class A Common Stock,Technology,32533086290,2026-07-22
VEEV,Veeva Systems Inc. Class A Common Stock,Technology,30053040237,2026-07-22
Q,Qnity Electronics Inc. Common Stock,Technology,29280253949,2026-07-22
TWLO,Twilio Inc. Class A Common Stock,Technology,28157086507,2026-07-22
